Date,USD Price,USD Open,USD High,USD Low,USD Vol.,USD Change %
3/14/2025,148.62,147.82,149.04,147.76,,0.55%
3/13/2025,147.81,148.26,148.39,147.4,,-0.30%
3/12/2025,148.25,147.79,149.2,147.72,,0.32%
3/11/2025,147.77,147.27,148.14,146.54,,0.35%
3/10/2025,147.26,147.89,147.99,146.63,,-0.52%
3/7/2025,148.03,147.99,148.22,146.95,,0.05%
3/6/2025,147.95,148.89,149.35,147.31,,-0.62%
3/5/2025,148.88,149.81,150.2,148.39,,-0.61%
3/4/2025,149.8,149.51,149.89,148.08,,0.20%
3/3/2025,149.5,150.49,151.34,149.1,,-0.73%
2/28/2025,150.6,149.81,151,149.1,,0.53%
2/27/2025,149.8,149.1,150.2,148.74,,0.48%
2/26/2025,149.08,149.04,149.9,148.64,,0.04%
2/25/2025,149.02,149.72,150.31,148.57,,-0.46%
2/24/2025,149.71,149.39,149.89,148.85,,0.28%
2/21/2025,149.29,149.64,150.75,148.92,,-0.23%
2/20/2025,149.63,151.48,151.48,149.39,,-1.21%
2/19/2025,151.47,152.07,152.32,151.24,,-0.38%
2/18/2025,152.05,151.5,152.25,151.23,,0.36%
2/17/2025,151.5,152.24,152.41,151.33,,-0.54%
2/14/2025,152.33,152.8,153.16,152.02,,-0.30%
2/13/2025,152.79,154.42,154.68,152.7,,-1.05%
2/12/2025,154.41,152.49,154.81,152.38,,1.27%
2/11/2025,152.48,152,152.63,151.64,,0.32%
2/10/2025,151.99,151.26,152.55,151.25,,0.39%
2/7/2025,151.4,151.41,152.42,150.94,,-0.03%
2/6/2025,151.44,152.61,152.9,151.24,,-0.76%
2/5/2025,152.6,154.34,154.47,152.11,,-1.12%
2/4/2025,154.33,154.76,155.53,154.17,,-0.27%
2/3/2025,154.75,154.94,155.89,154.01,,-0.28%
1/31/2025,155.18,154.3,155.24,153.92,,0.57%
1/30/2025,154.3,155.23,155.25,153.79,,-0.58%
1/29/2025,155.2,155.54,155.81,154.94,,-0.21%
1/28/2025,155.52,154.51,156,154.49,,0.67%
1/27/2025,154.49,155.72,156.26,153.72,,-0.96%
1/24/2025,155.98,156.06,156.58,154.85,,-0.04%
1/23/2025,156.05,156.5,156.76,155.74,,-0.31%
1/22/2025,156.53,155.51,156.72,155.35,,0.66%
1/21/2025,155.5,155.61,156.21,154.77,,-0.06%
1/20/2025,155.59,156.32,156.6,155.4,,-0.45%
1/17/2025,156.3,155.17,156.39,154.98,,0.76%
1/16/2025,155.12,156.48,156.54,155.1,,-0.86%
1/15/2025,156.47,157.98,158.1,155.95,,-0.94%
1/14/2025,157.96,157.48,158.23,157.11,,0.31%
1/13/2025,157.47,157.78,157.98,156.9,,-0.14%
1/10/2025,157.69,158.12,158.89,157.22,,-0.28%
1/9/2025,158.14,158.36,158.4,157.57,,-0.13%
1/8/2025,158.35,158.04,158.57,157.9,,0.21%
1/7/2025,158.02,157.63,158.43,157.36,,0.27%
1/6/2025,157.6,157.24,157.98,156.24,,0.21%
1/3/2025,157.27,157.54,157.57,156.88,,-0.16%
1/2/2025,157.52,157.26,157.87,156.43,,0.41%
1/1/2025,156.87,157.2,157.24,156.87,,-0.20%
12/31/2024,157.18,156.85,157.6,156.01,,0.22%
12/30/2024,156.83,157.74,158.09,156.67,,-0.63%
12/27/2024,157.82,157.88,158.01,157.35,,-0.11%
12/26/2024,158,157.21,158.1,157.07,,0.38%
12/25/2024,157.4,157.16,157.51,156.98,,0.14%
12/24/2024,157.18,157.15,157.43,156.88,,0.01%
12/23/2024,157.16,156.48,157.32,156.34,,0.48%
12/20/2024,156.41,157.45,157.93,155.95,,-0.65%
12/19/2024,157.43,154.82,157.82,154.43,,1.70%
12/18/2024,154.8,153.46,154.87,153.32,,0.86%
12/17/2024,153.48,154.12,154.35,153.15,,-0.43%
12/16/2024,154.15,153.63,154.49,153.32,,0.33%
12/13/2024,153.64,152.63,153.8,152.45,,0.67%
12/12/2024,152.62,152.46,152.79,151.8,,0.11%
12/11/2024,152.45,151.97,152.82,151.01,,0.33%
12/10/2024,151.95,151.16,152.18,150.9,,0.50%
12/9/2024,151.19,150.07,151.36,149.68,,0.77%
12/6/2024,150.03,150.1,150.71,149.35,,-0.03%
12/5/2024,150.08,150.6,150.79,149.65,,-0.35%
12/4/2024,150.6,149.6,151.24,149.52,,0.68%
12/3/2024,149.59,149.6,150.25,148.65,,0.00%
12/2/2024,149.59,149.74,150.76,149.07,,-0.11%
11/29/2024,149.75,151.55,151.57,149.46,,-1.18%
11/28/2024,151.54,151.07,152.01,150.92,,0.29%
11/27/2024,151.1,153.07,153.24,150.45,,-1.31%
11/26/2024,153.1,154.2,154.49,152.99,,-0.72%
11/25/2024,154.21,154.26,154.74,153.54,,-0.34%
11/22/2024,154.74,154.54,155.02,153.97,,0.15%
11/21/2024,154.51,155.43,155.43,153.9,,-0.59%
11/20/2024,155.43,154.66,155.9,154.52,,0.50%
11/19/2024,154.65,154.7,154.8,153.29,,0.00%
11/18/2024,154.65,154.42,155.37,153.85,,0.20%
11/15/2024,154.34,156.27,156.76,153.86,,-1.22%
11/14/2024,156.25,155.46,156.43,155.34,,0.51%
11/13/2024,155.45,154.62,155.64,154.34,,0.55%
11/12/2024,154.6,153.71,154.93,153.4,,0.58%
11/11/2024,153.71,152.68,153.96,152.63,,0.71%
11/8/2024,152.63,152.93,153.37,152.14,,-0.20%
11/7/2024,152.93,154.64,154.71,152.7,,-1.10%
11/6/2024,154.63,151.62,154.73,151.29,,2.00%
11/5/2024,151.6,152.13,152.57,151.33,,-0.35%
11/4/2024,152.13,152.98,153.04,151.53,,-0.56%
11/1/2024,152.98,152.04,153.11,151.78,,0.62%
10/31/2024,152.03,153.41,153.59,151.84,,-0.90%
10/30/2024,153.41,153.36,153.51,152.79,,0.04%
10/29/2024,153.35,153.29,153.88,152.75,,0.05%
10/28/2024,153.28,152.35,153.88,152.32,,0.64%
10/25/2024,152.3,151.83,152.39,151.45,,0.32%
10/24/2024,151.82,152.73,152.83,151.55,,-0.61%
10/23/2024,152.75,151.07,153.2,151.02,,1.12%
10/22/2024,151.06,150.84,151.21,150.49,,0.15%
10/21/2024,150.83,149.48,150.89,149.09,,0.88%
10/18/2024,149.52,150.21,150.29,149.36,,-0.45%
10/17/2024,150.2,149.64,150.34,149.23,,0.39%
10/16/2024,149.62,149.2,149.84,148.87,,0.29%
10/15/2024,149.19,149.76,149.84,148.85,,-0.37%
10/14/2024,149.75,149.13,150.01,149.07,,0.42%
10/11/2024,149.13,148.57,149.29,148.4,,0.38%
10/10/2024,148.56,149.3,149.56,148.35,,-0.49%
10/9/2024,149.29,148.2,149.38,148.01,,0.74%
10/8/2024,148.19,148.19,148.39,147.34,,0.01%
10/7/2024,148.18,148.73,149.14,147.85,,-0.36%
10/4/2024,148.71,146.93,149.01,145.92,,1.22%
10/3/2024,146.92,146.47,147.24,146.29,,0.31%
10/2/2024,146.46,143.57,146.52,143.43,,2.02%
10/1/2024,143.56,143.63,144.55,142.97,,-0.04%
9/30/2024,143.62,142.24,143.93,141.65,,1.01%
9/27/2024,142.19,144.82,146.5,142.07,,-1.80%
9/26/2024,144.8,144.76,145.23,144.11,,0.03%
9/25/2024,144.75,143.23,144.85,142.9,,1.08%
9/24/2024,143.21,143.62,144.7,143.12,,-0.27%
9/23/2024,143.6,143.93,144.46,143.16,,-0.22%
9/20/2024,143.91,142.63,144.51,141.74,,0.90%
9/19/2024,142.62,142.29,143.95,141.88,,0.25%
9/18/2024,142.27,142.41,142.73,140.43,,-0.09%
9/17/2024,142.4,140.62,142.48,140.32,,1.28%
9/16/2024,140.6,140.74,140.92,139.57,,-0.16%
9/13/2024,140.82,141.82,141.88,140.28,,-0.68%
9/12/2024,141.79,142.36,143.06,141.72,,-0.39%
9/11/2024,142.35,142.47,142.54,140.71,,-0.06%
9/10/2024,142.43,143.15,143.73,142.2,,-0.52%
9/9/2024,143.17,142.23,143.81,141.96,,0.63%
9/6/2024,142.27,143.46,143.91,141.78,,-0.82%
9/5/2024,143.44,143.74,144.24,142.85,,-0.20%
9/4/2024,143.73,145.48,145.57,143.71,,-1.20%
9/3/2024,145.47,146.9,147.21,145.16,,-0.97%
9/2/2024,146.9,146.18,147.19,145.77,,0.51%
8/30/2024,146.16,144.98,146.26,144.65,,0.81%
8/29/2024,144.98,144.6,145.57,144.22,,0.28%
8/28/2024,144.57,143.98,145.05,143.68,,0.43%
8/27/2024,143.95,144.52,145.19,143.92,,-0.39%
8/26/2024,144.52,144.24,144.65,143.45,,0.10%
8/23/2024,144.37,146.29,146.5,144.05,,-1.29%
8/22/2024,146.26,145.24,146.54,144.85,,0.69%
8/21/2024,145.26,145.26,146.6,144.45,,0.01%
8/20/2024,145.25,146.6,147.36,145.2,,-0.90%
8/19/2024,146.57,147.65,148.05,145.18,,-0.68%
8/16/2024,147.58,149.29,149.35,147.57,,-1.13%
8/15/2024,149.27,147.33,149.4,147.04,,1.33%
8/14/2024,147.31,146.84,147.59,146.07,,0.33%
8/13/2024,146.82,147.2,147.96,146.6,,-0.25%
8/12/2024,147.19,146.74,148.24,146.7,,0.40%
8/9/2024,146.61,147.29,147.82,146.27,,-0.45%
8/8/2024,147.28,146.67,147.55,145.43,,0.40%
8/7/2024,146.69,144.35,147.9,144.3,,1.66%
8/6/2024,144.3,144.17,146.38,143.62,,0.09%
8/5/2024,144.17,146.51,146.57,141.68,,-1.62%
8/2/2024,146.54,149.38,149.77,146.41,,-1.89%
8/1/2024,149.36,149.99,150.9,148.5,,-0.41%
7/31/2024,149.98,152.8,153.75,149.6,,-1.82%
7/30/2024,152.76,154.02,155.23,152.65,,-0.81%
7/29/2024,154.01,153.81,154.36,153.01,,0.19%
7/26/2024,153.72,153.95,154.75,153.13,,-0.14%
7/25/2024,153.93,153.9,154.33,151.94,,0.04%
7/24/2024,153.87,155.55,155.99,153.1,,-1.10%
7/23/2024,155.58,157.03,157.11,155.56,,-0.90%
7/22/2024,157,157.45,157.63,156.28,,-0.31%
7/19/2024,157.49,157.38,157.88,156.96,,0.08%
7/18/2024,157.37,156.15,157.41,155.37,,0.77%
7/17/2024,156.16,158.35,158.63,156.06,,-1.38%
7/16/2024,158.34,158.07,158.87,157.99,,0.21%
7/15/2024,158.01,157.88,158.43,157.16,,0.08%
7/12/2024,157.89,158.82,159.46,157.38,,-0.57%
7/11/2024,158.8,161.65,161.77,157.43,,-1.78%
7/10/2024,161.67,161.35,161.85,161.26,,0.22%
7/9/2024,161.31,160.79,161.52,160.73,,0.31%
7/8/2024,160.81,160.71,161.13,160.26,,0.06%
7/5/2024,160.72,161.26,161.4,160.34,,-0.33%
7/4/2024,161.25,161.71,161.71,160.95,,-0.27%
7/3/2024,161.68,161.46,162.01,160.77,,0.15%
7/2/2024,161.44,161.51,161.77,161.27,,-0.01%
7/1/2024,161.45,160.88,161.76,160.65,,0.39%
6/28/2024,160.83,160.76,161.28,160.26,,0.06%
6/27/2024,160.74,160.82,160.85,160.28,,-0.03%
6/26/2024,160.79,159.71,160.88,159.6,,0.69%
6/25/2024,159.69,159.59,159.8,159.19,,0.06%
6/24/2024,159.59,159.84,159.93,158.82,,-0.13%
6/21/2024,159.79,158.93,159.85,158.67,,0.56%
6/20/2024,158.9,158.1,158.95,157.92,,0.52%
6/19/2024,158.08,157.85,158.12,157.6,,0.15%
6/18/2024,157.85,157.74,158.24,157.51,,0.09%
6/17/2024,157.71,157.38,157.97,157.15,,0.22%
6/14/2024,157.37,157.04,158.27,156.88,,0.22%
6/13/2024,157.02,156.72,157.35,156.58,,0.20%
6/12/2024,156.71,157.07,157.46,155.72,,-0.23%
6/11/2024,157.07,157.04,157.46,156.8,,0.03%
6/10/2024,157.02,156.74,157.21,156.7,,0.20%
6/7/2024,156.7,155.62,157.09,155.12,,0.71%
6/6/2024,155.6,156.1,156.45,155.35,,-0.32%
6/5/2024,156.1,154.85,156.49,154.79,,0.79%
6/4/2024,154.87,156.12,156.49,154.54,,-0.79%
